"Elev-ID";"Skole-ID";"Trinn";"Land";"Kjønn";"Forventet utdanning";"Likestilling";"Bøker hjemme";"Innvandringsstatus";"Elevinteresse";"Sivilkunnskap";"Sosioøkonomisk status";"Åpen klasseromsdiskusjon";"Tradisjonelt medborgerskap";"Forventet politisk deltakelse"
"50010101";"5001";9;"Norge";"Gutt";"VGS";49,42491;"101–200";"Født i landet, minst én forelder født i landet";"Ganske interessert";563,732;-0,19319;46,64615;46,52454;33,79093
"50010103";"5001";9;"Norge";"Gutt";"Høyere utdanning";44,59585;"11–25";"Født i landet, minst én forelder født i landet";"Ganske interessert";522,88;-0,00542;59,10097;50,87064;50,30993
"50010104";"5001";9;"Norge";"Gutt";"Ungdomsskole";37,63793;"0–10";"Født i landet, minst én forelder født i landet";"Lite interessert";401,882;-0,90487;50,84179;38,10836;50,30993
"50010105";"5001";9;"Norge";"Jente";"Kort utdanning";65,704;"Over 200";"Født i landet, minst én forelder født i landet";"Ikke interessert i det hele tatt";483,026;0,50591;42,85896;59,23617;60,80759
"50010106";"5001";9;"Norge";"Gutt";"VGS";40,85939;"26–100";"Født i landet, minst én forelder født i landet";"Svært interessert";486,322;0,3622;44,72503;78,64558;53,77688
"50010107";"5001";9;"Norge";"Gutt";"VGS";44,59585;"101–200";"Født i landet, minst én forelder født i landet";"Svært interessert";613,928;0,42193;78,9787;63,67088;65,25647
"50010108";"5001";9;"Norge";"Gutt";"VGS";44,59585;"11–25";"Født i landet, minst én forelder født i landet";"Lite interessert";556,964;-0,00542;50,84179;46,52454;56,45372
"50010109";"5001";9;"Norge";"Gutt";"VGS";39,20663;"11–25";"Født i landet, minst én forelder født i landet";"Lite interessert";464,72;-1,7461;68,50706;78,64558;60,80759
"50020101";"5002";9;"Norge";"Gutt";"Kort utdanning";57,13913;"101–200";"Født i landet, minst én forelder født i landet";"Ganske interessert";583,292;-0,10922;53,23226;42,21791;60,80759
"50020102";"5002";9;"Norge";"Jente";"Ungdomsskole";65,704;"26–100";"Født i landet, minst én forelder født i landet";"Lite interessert";519,65;0,41818;50,84179;46,52454;50,30993
"50020103";"5002";9;"Norge";"Jente";"Kort utdanning";46,81653;"26–100";"Født i landet, minst én forelder født i landet";"Ganske interessert";486,324;0,41818;50,84179;46,52454;39,58624
"50020105";"5002";9;"Norge";"Jente";"Høyere utdanning";65,704;"26–100";"Født i landet, minst én forelder født i landet";"Ikke interessert i det hele tatt";614,1;-0,64479;68,50706;38,10836;53,77688
"50020106";"5002";9;"Norge";"Jente";"Høyere utdanning";57,13913;"Over 200";"Født i landet, minst én forelder født i landet";"Lite interessert";591,79;0,58988;53,23226;50,87064;50,30993
"50020107";"5002";9;"Norge";"Gutt";"VGS";37,63793;"26–100";"Født i landet, minst én forelder født i landet";"Lite interessert";444,144;-0,33689;50,84179;46,52454;33,79093
"50020108";"5002";9;"Norge";"Jente";"Ungdomsskole";41,30992;"26–100";"Født i landet, minst én forelder født i landet";"Lite interessert";584,466;0,47417;50,84179;63,67088;50,30993
"50020109";"5002";9;"Norge";"Gutt";"VGS";36,11853;"11–25";"Født i landet, minst én forelder født i landet";"Ganske interessert";379,236;-1,20448;39,11419;46,52454;55,92808
"50020111";"5002";9;"Norge";"Jente";"Kort utdanning";65,704;"101–200";"Født i landet, minst én forelder født i landet";"Ikke interessert i det hele tatt";531,408;-0,0539;59,10097;38,10836;50,30993
"50020112";"5002";9;"Norge";"Gutt";"Kort utdanning";65,704;"Over 200";"Født i landet, minst én forelder født i landet";"Lite interessert";561,424;0,36595;46,64615;24,43447;50,30993
"50020115";"5002";9;"Norge";"Gutt";"Høyere utdanning";37,63793;"26–100";"Født i landet, minst én forelder født i landet";"Ikke interessert i det hele tatt";385,522;-1,41298;42,85896;55,07822;60,80759
